# 3D point list with one line of data per point.
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
1 -7845.598694 -6129.412192 1250.000000 128 128 128 0.0 2 0
2 -7845.598694 -6129.412192 3500.000000 128 128 128 0.0 2 1
3 -7845.598694 -6129.412192 5750.000000 128 128 128 0.0 2 2
4 -7854.837244 -5709.241569 1250.000000 128 128 128 0.0 2 3
5 -7854.837244 -5709.241569 3500.000000 128 128 128 0.0 2 4
6 -7854.837244 -5709.241569 5750.000000 128 128 128 0.0 2 5
7 -7864.076995 -5289.070706 1250.000000 128 128 128 0.0 2 6
8 -7864.076995 -5289.070706 3500.000000 128 128 128 0.0 2 7
9 -7864.076995 -5289.070706 5750.000000 128 128 128 0.0 2 8
10 -7873.317948 -4868.899603 1250.000000 128 128 128 0.0 2 9
11 -7873.317948 -4868.899603 3500.000000 128 128 128 0.0 2 10
12 -7873.317948 -4868.899603 5750.000000 128 128 128 0.0 2 11
13 -7882.560101 -4448.728260 1250.000000 128 128 128 0.0 2 12
14 -7882.560101 -4448.728260 3500.000000 128 128 128 0.0 2 13
15 -7882.560101 -4448.728260 5750.000000 128 128 128 0.0 2 14
16 -7891.803455 -4028.556678 1250.000000 128 128 128 0.0 2 15
17 -7891.803455 -4028.556678 3500.000000 128 128 128 0.0 2 16
18 -7891.803455 -4028.556678 5750.000000 128 128 128 0.0 2 17
19 -7901.048009 -3608.384856 1250.000000 128 128 128 0.0 2 18
20 -7901.048009 -3608.384856 3500.000000 128 128 128 0.0 2 19
21 -7901.048009 -3608.384856 5750.000000 128 128 128 0.0 2 20
22 -7910.293765 -3188.212794 1250.000000 128 128 128 0.0 2 21
23 -7910.293765 -3188.212794 3500.000000 128 128 128 0.0 2 22
24 -7910.293765 -3188.212794 5750.000000 128 128 128 0.0 2 23
25 -7919.540721 -2768.040492 1250.000000 128 128 128 0.0 2 24
26 -7919.540721 -2768.040492 3500.000000 128 128 128 0.0 2 25
27 -7919.540721 -2768.040492 5750.000000 128 128 128 0.0 2 26
28 -7928.788877 -2347.867950 1250.000000 128 128 128 0.0 2 27
29 -7928.788877 -2347.867950 3500.000000 128 128 128 0.0 2 28
30 -7928.788877 -2347.867950 5750.000000 128 128 128 0.0 2 29
31 -7938.038234 -1927.695169 1250.000000 128 128 128 0.0 2 30
32 -7938.038234 -1927.695169 3500.000000 128 128 128 0.0 2 31
33 -7938.038234 -1927.695169 5750.000000 128 128 128 0.0 2 32
34 -7947.288791 -1507.522147 1250.000000 128 128 128 0.0 2 33
35 -7947.288791 -1507.522147 3500.000000 128 128 128 0.0 2 34
36 -7947.288791 -1507.522147 5750.000000 128 128 128 0.0 2 35
37 -7956.540548 -1087.348886 1250.000000 128 128 128 0.0 2 36
38 -7956.540548 -1087.348886 3500.000000 128 128 128 0.0 2 37
39 -7956.540548 -1087.348886 5750.000000 128 128 128 0.0 2 38
40 -7965.793506 -667.175385 1250.000000 128 128 128 0.0 2 39
41 -7965.793506 -667.175385 3500.000000 128 128 128 0.0 2 40
42 -7965.793506 -667.175385 5750.000000 128 128 128 0.0 2 41
43 -7975.047663 -247.001644 1250.000000 128 128 128 0.0 2 42
44 -7975.047663 -247.001644 3500.000000 128 128 128 0.0 2 43
45 -7975.047663 -247.001644 5750.000000 128 128 128 0.0 2 44
